emission_names,cluster,is_new_cluster,Longitude,Latitude,Height..m.,Diameter..m.,Exit.Temp....,Velocity..m.s.,MW,CO2_tpa,Hg_kgpa,NOx_tpa,PM_tpa,SOx_tpa,FGD
Sulaw16,sulaw16,FALSE,122.15527777777778,-2.827462222222222,159.44444444444446,5.455555555555556,120,17.27777777777778,2080,13281467.176421052,354.5225697116292,23132.85560098647,3336.3226664661656,27320.772582081205,FALSE
Sulba119,sulba119,FALSE,122.9416,0.942698,130,4.4,75,16,100,671842.2609899115,17.933504005481236,449.84110674873443,269.3659321848709,123.90832880504063,TRUE
Sulse120,sulse120,FALSE,119.6314,-4.29329,136.66666666666666,4.733333333333333,90,16.666666666666668,200,1202244.0459819469,32.09153348349274,954.8270906774421,482.02324706766376,1293.5235606604012,TRUE
Sulut122,sulut122,FALSE,123.4701,0.890184,130,4.2,75,15.5,100,671842.2609899115,17.933504005481236,1481.51262701679,269.3659321848709,1481.51262701679,TRUE
Sulut123,sulut123,FALSE,125.0855,1.374331,130,4.5,75,16,100,671842.2609899115,17.933504005481236,449.84110674873443,269.3659321848709,123.90832880504063,TRUE
Sumba124,sumba124,FALSE,103.8307,-5.05743,145,4.7,120,16,300,1591205.354976106,42.474088434034506,3508.845695566081,379.59330706578515,3508.845695566081,FALSE
Sumba125,sumba125,FALSE,116.776891598511,-8.74209553113602,125,4.4,120,16.5,14,94057.91653858761,2.510690560767373,207.4117677823506,37.71123050588193,207.4117677823506,FALSE
Sumse126,sumse126,FALSE,103.9992,-3.47667,165,5.5,120,16.5,600,3182410.709952212,106.18522108508625,7017.691391132162,759.1866141315703,7017.691391132162,FALSE
Sumse127,sumse127,FALSE,103.7553,-2.15625,150,5,75,17,300,1591205.354976106,53.09261054254313,1689.732492595695,379.59330706578515,2277.559842394711,TRUE
Sumse128,sumse128,FALSE,103.8041,-3.83868,215,7,120,18.5,1320,6334512.746476308,211.35915435031455,11606.593209371536,1511.1428795571258,12951.256398584175,FALSE
Sumut129,sumut129,FALSE,98.63694,3.78025,140,4.6,120,15.5,300,1591205.354976106,42.474088434034506,3508.845695566081,379.59330706578515,3508.845695566081,FALSE
Sural66,sural66,FALSE,106.0302,-5.89191,232.14285714285714,7.642857142857143,538,21,3400,19247851.19918286,1539.9503142135345,30742.72471196987,7408.554344922725,43094.47386294038,FALSE
Tabal39,tabal39,FALSE,115.4459,-2.15859,135,4.7,120,17,60,477328.896,12.741353388122866,319.6020425142857,191.37846857142856,1052.581577142857,FALSE
Talau130,talau130,FALSE,126.69762944032,4.07542388443435,125,4.2,120,16,6,40310.535659394685,1.0760102403288743,26.990466404924064,16.16195593109225,88.8907576210074,FALSE
Tanah131,tanah131,FALSE,116.1932741,-1.816346762,120,3.8,120,15,14,94057.91653858761,2.510690560767373,207.4117677823506,37.71123050588193,207.4117677823506,FALSE
Tanju132,tanju132,FALSE,111.9955,-6.81052,205,7,120,18.25,700,3712812.4949442474,72.76002308548246,3942.709149389955,1191.1786835844755,4088.592067399551,FALSE
Tanju133,tanju133,FALSE,103.410542026985,1.04533887391639,130,4.6,120,17,14,94057.91653858761,2.526938217666072,83.956512475244935,37.71123050588193,207.4117677823506,FALSE
Tanju134,tanju134,FALSE,104.1357,1.044137,140,5,75,17,130,873394.9392868847,23.313555207125603,584.7934387733546,350.17571184033216,161.08082744655277,TRUE
Tanju135,tanju135,FALSE,117.3675432,2.813762563,120,3.8,120,15,14,94057.91653858761,2.510690560767373,207.4117677823506,37.71123050588193,207.4117677823506,FALSE
Tanju71,tanju71,FALSE,110.7435,-6.44478,240,8,60,15,1320,7601415.295771569,135.26985878420132,12190.732473738157,1523.8415592172696,4620,TRUE
Tarah136,tarah136,FALSE,105.3535,-5.52121,150,5.5,75,17.5,200,1151729.5902684198,30.46043002254472,1028.0389282683057,461.7701694597788,212.41427795149824,TRUE
Teluk137,teluk137,FALSE,116.7887,-1.17036,145,4.9,75,16.5,220,1166883.9269824778,45.994789156751175,1239.137161236843,278.36842518157573,1670.2105510894544,TRUE
Teluk138,teluk138,FALSE,100.3724,-1.07655,145,5,75,17,224,1188099.9983821593,71.68052155995534,1261.6669278047857,283.42966927578624,1700.5780156547173,TRUE
Tembi139,tembi139,FALSE,103.203699465385,-0.298165180934061,130,4.5,120,17,14,94057.91653858761,2.510690560767373,207.4117677823506,37.71123050588193,207.4117677823506,FALSE
Tenay140,tenay140,FALSE,101.5235,0.56437,145,4.95,75,16.75,220,1166883.9269824778,13.361881430729582,1239.137161236843,278.36842518157573,1670.2105510894544,TRUE
Tidor141,tidor141,FALSE,127.388663854389,0.739080014226665,40,3,26.85,16.5,14,94057.91653858761,2.4585270307241816,207.4117677823506,37.71123050588193,207.4117677823506,FALSE
Timor142,timor142,FALSE,123.4599,-10.352,130,4.3,75,16,100,671842.2609899115,17.933504005481236,1481.51262701679,269.3659321848709,1481.51262701679,TRUE
Tjiwa1,tjiwa1,FALSE,112.4688,-7.43684,147.5,5.475,120,18.625,230,1829760.7680000002,48.84185465447098,1225.1411629714287,733.617462857143,4034.8960457142866,FALSE
Tonas2,tonas2,FALSE,119.5017,-4.81671,140,5.15,120,18,120,954657.7920000001,25.482706776245728,639.2040850285714,382.75693714285717,2105.163154285715,FALSE
Wanxi3,wanxi3,FALSE,122.0306,-2.73095,135,4.5,120,16,130,1034212.6079999999,27.60626567426621,692.4710921142857,414.6533485714286,2280.5934171428576,FALSE
WedaB4,wedab4,FALSE,127.9842,0.478894,166.11111111111111,5.666666666666667,120,17.166666666666668,2640,15001765.302857142,400.4425350552901,27487.41604310204,3578.777362285714,30671.926420349384,FALSE
WedaB5,wedab5,FALSE,128.0081,0.476161,175,6,120,17.2,1900,10796725.028571429,288.19727901706483,22198.079702204082,2575.6352228571427,23114.83268959347,FALSE
Xinxi6,xinxi6,FALSE,127.41771428571428,-1.532927142857143,132.85714285714286,4.5285714285714285,120,16.357142857142858,299,2378688.9984,63.49441105081229,1592.6835118628571,953.7027017142857,5245.364859428571,FALSE
Xinyi146,xinyi146,TRUE,104.1801,0.86008,260,8.5,120,19,2500,15701608.42105263,419.12346671456794,34624.3939849624,3745.7298947368417,34624.3939849624,FALSE
